,Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
55,Germany,3.7698628622,3.7399062757,4.4959672203,4.8992839749,4.3842997195,4.0910724506,3.9092968375,4.0776762935,3.40638729,3.3986228937,3.0126306442,3.0602135619,3.1675075661,3.1596173331,3.2611413304,3.2832161608,3.1355665941,3.0382937113,3.0494445521,2.9641823833,2.9613497597,3.0418796887,3.0342956295,3.0269739405,2.9262246616,2.8673794845,2.790328567,2.7722990263,2.6409099301,2.5324305336,2.5184327066,1.9978349882,1.8604799411,1.6935383226,1.5502764328,1.4950220143,1.4658584599,1.4093017326,1.3908947862,1.3950743546,1.3588830332,1.3234383028,1.3279581209,1.316924865,1.2689573964,1.0656297005,1.1993029584,1.1724717649,1.2090340037,1.3106040732,1.2668266261,1.2061503364,1.241677479,1.185257901,1.1499419969,1.1373384267,1.1496544849,1.154049407,1.1718167923,1.2691468665,1.3997303682
58,Denmark,2.728877556,2.586811645,3.0182731041,3.0415238937,2.8429144708,2.8321377331,2.6367496989,2.5882109237,2.6759341499,2.3916076314,2.4291199659,2.3622221894,2.1799733459,1.9758075833,2.2348439316,2.3972495423,2.2042031848,2.2163031286,2.2718211945,2.2515273724,2.3630925227,2.438666392,2.4198950252,2.3647428761,2.2354707255,2.1046721071,1.9448192367,2.0316474834,2.0874706324,2.024220137,1.950757035,1.95468015,1.8893772853,1.9071976697,1.7701098834,1.6853146651,1.6448166585,1.6159612051,1.6080263881,1.5648547226,1.4574440505,1.5323807205,1.508149852,1.4668512498,1.4237042339,1.3114886405,1.3774921831,1.3072470519,1.3550045241,1.3501786253,1.3986217869,1.3135312853,1.3518189726,1.2272520003,1.1492732863,1.1114460116,1.1476376168,1.1382332545,1.2774022269,1.3014549195,1.4422681394
70,Spain,2.250747022,2.031244826,2.2677458919,1.9696329196,1.9305585735,1.8848668246,2.0796193602,1.8519569436,2.2976725194,2.4341675344,2.2866162255,2.1079717457,2.317782098,2.1107417255,2.2075639374,2.0042622334,2.3210469321,2.3142326629,2.3579573006,2.4970649013,2.4898957849,2.5821087448,2.6603067458,2.9362728999,2.9660055044,2.9547217082,2.6250366797,2.614700689,2.4893752172,2.3596751423,2.293305209,2.1291922311,2.042803676,2.011871737,2.0013374022,1.9170223947,1.8144390162,1.7228156794,1.7573199489,1.755234589,1.7255179884,1.6295840329,1.4559737016,1.422544393,1.4302211797,1.3871777536,1.3700074615,1.3631063123,1.3676204845,1.358353837,1.387378124,1.3318765552,1.4236373035,1.2727706626,1.2544591041,1.2708237827,1.1377280399,1.2306907761,1.2539358816,1.2334387342,1.4020534171
71,Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7617519609,1.0416302737,0.958098327,0.8735960738,1.0467724867,1.0674917183,1.2871133645,1.3763271153,1.5022144619,1.6671295009,1.7430492953,1.6996892247,1.4509199322,1.3884224363,1.657582134,1.7650496914,1.78893839,1.6864700671,1.6640102427,1.8835795803,1.8966666184,1.9127859308,2.0113351729,2.0518443712,2.0077335213,2.0086658626,2.0240188215,2.3074873862
75,Finland,1.7690410476,1.8361815197,2.5131783086,1.927141787,1.8592730317,1.7973403828,1.7139513138,1.6155211527,1.7550744003,1.4374776981,1.3758540168,1.4490468749,1.5308455436,1.4537020401,1.2701786675,1.5081598199,1.3401246168,1.4053520115,1.4294441051,1.4790093097,1.6709354799,1.5455867306,1.64375015,1.8232638142,1.6040418011,1.6765790728,1.7239099534,1.6455330096,1.6076911731,1.5343144924,1.5633514986,1.7812310365,1.9071310116,1.8680115066,1.7556035954,1.4225414992,1.5304722712,1.5351550507,1.4631755578,1.2231037716,1.2411475037,1.1445128326,1.1546372287,1.4468572626,1.4701635646,1.4671904288,1.4447666748,1.290887944,1.3949173943,1.5607423559,1.4917581596,1.4894089839,1.5265846585,1.5338609345,1.4519301875,1.4499609717,1.4196526264,1.3534986036,1.3622124076,1.3477111359,1.5304509422
77,France,5.4284858849,5.2956075388,5.1588713495,4.7400857175,4.5402502667,4.3953195138,4.2901032742,4.2952459469,4.1368460378,3.6797517268,3.4585577173,3.3160930482,3.2303045904,3.1437192048,3.0864405808,3.197145464,3.1561395842,3.2315686103,3.1514873141,3.1393954431,3.1552050849,3.2461326105,3.2238391338,3.2371317748,3.1873692509,3.1439328023,3.0857650158,3.1204516051,2.9631806088,2.8799353125,2.8052676271,2.8121364381,2.6906607106,2.6895348064,2.6603749604,2.4924961894,2.4144739506,2.3754096531,2.2262083065,2.1778429702,2.0850182448,2.03069529,2.0462579904,2.0956804128,2.1043508353,2.0237069189,1.9750982999,1.9075286336,1.8970758958,2.0981473345,1.9694193528,1.8914062136,1.8710805998,1.8498759183,1.8629614395,1.8722582813,1.917282368,1.9086420123,1.8450533989,1.8454911956,2.0733214273
81,United Kingdom,7.0924863708,6.9213875229,6.9441660411,6.8007434107,6.5960560131,6.4369785734,6.2490367968,6.2357037121,5.9411052003,5.502195639,5.1974132381,5.0763306225,5.1710477559,4.9061610575,5.0694271149,5.3396034392,5.1755033368,4.923277621,4.7330430859,4.6797575675,5.0199034589,4.9837633692,5.3813265212,5.39688559,5.5080794981,5.3207046191,5.0598237368,4.6866684426,4.2142876284,4.0409543316,3.9832176946,4.1168024227,3.8647177664,3.5906495125,3.3819337178,2.8541994905,2.724592322,2.5601487723,2.495962275,2.4229095933,2.3727966452,2.4111221013,2.4856596747,2.5520620152,2.4978213675,2.434203228,2.3730869993,2.3742077477,2.4957230161,2.6534850163,2.578159502,2.5027264017,2.4205647306,2.2936402409,2.1839062481,2.0455031922,1.9814382549,1.9463249964,1.9487557078,2.013004573,2.2465466793
89,Greece,4.8573029595,4.2435700002,4.0484297123,3.8244846396,3.5735621103,3.4984649206,3.5846873877,4.3457076676,4.6901802664,4.7887860601,4.1973021945,4.1191991731,3.9565251449,3.5177090641,4.8244688346,5.8473216222,5.8292273842,5.9185356544,5.5754445125,5.1812483287,4.6608059952,5.7357013089,5.6265934582,5.1724766628,4.8354443369,4.6925669384,4.1280151221,4.2555204484,4.1982322306,3.7658694646,3.7982603271,3.4848651099,3.6298008904,3.6001246956,3.5819723288,3.1731901964,3.3119132818,3.3658688904,3.5338688154,3.3604699447,3.4653553201,3.2514128562,3.0773745753,2.4938947525,2.6056725297,2.8365962771,2.7834188703,2.6793059214,2.9830523447,3.2248411378,2.7502182624,2.5222787656,2.4436708156,2.3713039826,2.3507828837,2.4669209987,2.5759177936,2.5598938963,2.713889458,2.6645804849,2.7955631461
101,Hungary,,,,,,,,,,,4.030075188,3.7416851441,3.273657289,3.006993007,3.2078413901,3.3354050135,3.0062393647,2.9553264605,3.2396379228,3.2390444086,3.3425797503,3.3337607386,3.2433069937,3.3359366284,3.1476750128,4.972429138,3.2237325496,3.1555772994,3.5962232713,2.7861620618,2.5635380271,2.1614697995,2.1796531721,1.9065682898,1.8241343839,1.324727483,1.2590610398,1.4766844028,1.2721641748,1.4336125997,1.513100227,1.5701270901,1.5937738021,1.6426215944,1.4727238189,1.4120287874,1.2230099596,1.2702581061,1.1811797358,1.1286454773,1.0239956079,1.0384260113,1.0292053663,0.9453030809,0.8594478229,0.9054445601,1.0031063011,1.0266576234,1.1166413874,1.2543862943,1.6143132574
111,Ireland,1.3303867427,1.320142085,1.2902199761,1.2428171338,1.3032078649,1.326908055,1.2343604576,1.187126848,1.1328512994,1.099280371,1.158609296,1.2439451323,1.3288110113,1.3126949011,1.4069323564,1.6259589671,1.6151624995,1.5251774401,1.4830835474,1.5822005671,1.6652670122,1.5806066184,1.5912369479,1.4926312328,1.4124394253,1.4160442041,1.4232052652,1.282300247,1.1994341527,1.1054761195,1.203503284,1.2539353126,1.2041185499,1.1392251487,1.1087325912,1.0143593883,0.989927159,0.9240661274,0.823869516,0.7506764987,0.6956977421,0.7035171563,0.6340137204,0.5875409359,0.5683222921,0.5409931786,0.5129362978,0.5084125661,0.5759529874,0.6002270509,0.5737929935,0.5471748166,0.5144945372,0.5014022114,0.4606757401,0.3420158697,0.334441788,0.3041411433,0.2868623818,0.2791452857,0.2874877004
